,Name,Latitude,Longitude,Category
0,Palo Alto City Hall,37.44452148347468,-122.16019968709358,City Hall
1,City Hall Garage,37.444719430859784,-122.16057804392607,Parking
2,Coral Parking Garage,37.444571455116346,-122.16082611359055,Parking
3,King Plaza,37.444400787353516,-122.16004180908203,Plaza
4,Shinola Detroit,37.444806043790216,-122.1606157744742,Leather Goods Store
5,sweetgreen,37.444700658814824,-122.16094806790352,Salad Place
6,Palo Alto City Council Chambers,37.444400787353516,-122.16004180908203,Government Building
7,Ramona Parking Garage,37.44446254519446,-122.1601109278209,Parking
8,Ramen Nagi,37.44541979327627,-122.1607053206873,Ramen Restaurant
9,University Chiropractic,37.44526910768883,-122.16097181563734,Chiropractor
10,BLM Mural,37.445018,-122.160402,Public Art
11,The UPS Store,37.4454001,-122.1605467,Shipping Store
12,"Regus - California, Palo Alto - Hamilton Avenue",37.44406224338835,-122.16104798399556,Business Service
13,JOE & THE JUICE,37.44447115767022,-122.16096405600923,Juice Bar
14,Charmelle 28,37.445212,-122.160689,Lingerie Store
15,Timothy Adams Chocolates,37.44549732925726,-122.1607877787638,Chocolate Shop
16,Sharetea,37.445338550011044,-122.16093211301566,Bubble Tea Shop
17,Dr. Teresa J. Lui,37.444068,-122.160693,Doctor's Office
18,Tea Time,37.444790861892315,-122.1614572103511,Tea Room
19,Coconuts Caribbean Restaurant & Bar,37.44401855096844,-122.16018018877665,Caribbean Restaurant
20,Sister City Display,37.444718,-122.160557,Plaza
21,Aurora Palo Alto,37.444622270155904,-122.16026616235945,Tree
22,Glass House,37.444636,-122.160386,Art Gallery
23,Houzz,37.445115761637005,-122.16053656593553,Office
24,Wealthfront,37.444851,-122.161005,Tech Startup
25,New York Pizza - Palo Alto,37.44543938229869,-122.16002084216075,Pizza Place
26,everathlete performance,37.443991,-122.160865,Corporate Amenity
27,City of Palo Alto Development Center,37.44518694401015,-122.16051521281004,City Hall
28,Great American Framing Shop,37.444363,-122.161285,Arts & Crafts Store
29,Holiday Cleaners,37.445438,-122.160338,Laundry Service
30,Purple Parking Garage,37.44377486727787,-122.16300234753744,Parking
31,Verve Coffee,37.4442062,-122.1630555,Café
32,Foundation Capital,37.443406,-122.162395,Office
33,High Street Parking Lot,37.443804154635856,-122.1631157851751,Parking
34,MNT Palo Alto,37.443565368652344,-122.16221618652344,Pilates Studio
35,Chargepoint Charging Station,37.44352,-122.163193,EV Charging Station
36,West Elm,37.44461753289734,-122.16272786084481,Furniture / Home Store
37,Amber Dhara,37.44390989129971,-122.16296666596816,Indian Restaurant
38,Mendocino Farms,37.44369777999427,-122.16209696516148,Sandwich Place
39,Palantir 156 University,37.44373728285641,-122.16271107680484,Tech Startup
40,Onigilly,37.44423581782598,-122.16321360488686,Japanese Restaurant
41,San Agus Cocina Urbana & Cocktails,37.442752,-122.162403,Restaurant
42,T4 Tea for U,37.44443378151456,-122.16317780926649,Bubble Tea Shop
43,Innovation Endeavors,37.44364089869524,-122.1623926065208,Tech Startup
44,Amino Capital,37.44390954002508,-122.16376572847366,Tech Startup
45,Bay Immigration Law,37.444061279296875,-122.16378021240234,Lawyer
46,Girl Geek Dinner @Palantir,37.4433479309082,-122.16265106201172,Event Space
47,True Ventures,37.44326,-122.162307,Office
48,American Express,37.443499565552465,-122.16359035846854,Office
49,Camp Mashery @SuperHappyBe,37.443769181366996,-122.16296609869498,Arcade
50,World Innovation Lab,37.443494,-122.163747,Office
51,Eclipse VC,37.443848,-122.16319,Office
52,Ernst & Young,37.443268,-122.162464,Office
53,Liftoff,37.444298,-122.16352,Tech Startup
