Start Date,Label,Charging Time (mins),Parking Time (mins),Energy (kWh),Fee (USD),Censored
2011-10-10,0,281.0666666666667,398.84999999999997,16.764479,0.0,0.0
2011-10-11,0,218.88333333333333,224.38333333333333,13.397376999999999,0.0,0.0
2011-10-12,0,265.08333333333337,333.3833333333334,16.016336,0.0,0.0
2011-10-13,0,430.0666666666666,552.1333333333332,26.342279,0.0,0.0
2011-10-14,0,195.55,195.71666666666664,11.908109000000003,0.0,0.0
2011-10-15,0,184.68333333333337,317.15000000000003,9.564022,0.0,0.0
2011-10-16,0,0.0,0.0,0.0,0.0,0.0
2011-10-17,0,195.56666666666666,227.65000000000003,10.293681000000003,0.0,0.0
2011-10-18,0,324.0,389.0,18.946306,0.0,0.0
2011-10-19,0,747.2085897435898,817.373076923077,45.02560607692307,0.0,0.0
2011-10-20,0,304.9747435897436,379.9769230769231,17.922764923076926,0.0,0.0
2011-10-21,0,765.15,1097.9,46.52096099999999,0.0,0.0
2011-10-22,0,223.27666666666664,381.1474358974359,13.637180584615386,0.0,0.0
2011-10-23,0,184.34,200.31923076923076,10.050155415384616,0.0,0.0
2011-10-24,0,214.39999999999998,230.98333333333335,13.036423000000001,0.0,0.0
2011-10-25,0,632.7499999999999,776.6166666666666,36.913503000000006,0.0,0.0
2011-10-26,0,452.7999999999999,482.04999999999995,27.173063999999997,0.0,0.0
2011-10-27,0,178.3,178.88333333333333,17.094515,0.0,0.0
2011-10-28,0,666.55,782.2499999999998,38.63831700000001,0.0,0.0
2011-10-29,0,153.55,153.73333333333332,9.220109999999998,0.0,0.0
2011-10-30,0,184.05,185.38333333333333,11.233711,0.0,0.0
2011-10-31,0,255.81666666666666,405.15,18.47503,0.0,0.0
2011-11-01,0,418.5166666666667,491.1166666666667,24.676934,0.0,0.0
2011-11-02,0,518.25,592.1166666666668,29.116753000000003,0.0,0.0
2011-11-03,0,331.3833333333334,348.8666666666667,19.092850000000002,0.0,0.0
2011-11-04,0,791.0198752228164,888.6984848484848,37.81278522994653,0.0,0.0
2011-11-05,0,306.31345811051693,307.0515151515151,18.395323770053473,0.0,0.0
2011-11-06,0,694.8000000000001,1245.6166666666668,35.076127,0.0,0.0
2011-11-07,0,166.20000000000002,173.31666666666666,10.061404999999999,0.0,0.0
2011-11-08,0,188.20000000000005,259.4666666666667,11.241423000000001,0.0,0.0
2011-11-09,0,555.5833333333334,556.95,27.197792,0.0,0.0
2011-11-10,0,850.6833333333334,870.9833333333335,51.139851,0.0,0.0
2011-11-11,0,232.3,425.19999999999993,12.088097999999999,0.0,0.0
2011-11-12,0,116.76666666666668,117.70000000000002,7.131128,0.0,0.0
2011-11-13,0,381.14964080459777,662.9850574712643,23.57837815086207,0.0,0.0
2011-11-14,0,236.13369252873565,321.2816091954023,10.393046849137932,0.0,0.0
2011-11-15,0,175.05,175.88333333333333,8.546498,0.0,0.0
2011-11-16,0,395.26666666666665,439.8333333333333,20.913927,0.0,0.0
2011-11-17,0,287.44999999999993,369.11666666666673,17.110847,0.0,0.0
2011-11-18,0,324.0,451.6333333333332,19.515061,0.0,0.0
2011-11-19,0,241.2,271.46666666666664,12.040477000000001,0.0,0.0
2011-11-20,0,368.39901960784306,954.8673796791444,20.510739518716576,0.0,0.0
2011-11-21,0,721.9509803921568,828.399286987522,43.625090481283415,0.0,0.0
2011-11-22,0,167.2,227.16666666666669,8.780913,0.0,0.0
2011-11-23,0,336.0,467.65000000000003,17.171008,0.0,0.0
2011-11-24,0,0.0,0.0,0.0,0.0,0.0
2011-11-25,0,29.466666666666665,29.55,1.778934,0.0,0.0
2011-11-26,0,270.15,774.0833333333333,19.100416,0.0,0.0
2011-11-27,0,0.0,0.0,0.0,0.0,0.0
2011-11-28,0,245.5833333333333,302.45000000000005,13.738520000000001,0.0,0.0
2011-11-29,0,189.66666666666666,199.09999999999997,11.038736,0.0,0.0
2011-11-30,0,594.5666666666667,652.4333333333334,40.20581,0.0,0.0
2011-12-01,0,618.5833333333334,684.3166666666667,35.86896,0.0,0.0
