"meta__code","meta__requestId","response__venues__id","response__venues__name","response__venues__location__address","response__venues__location__lat","response__venues__location__lng","response__venues__location__labeledLatLngs__label","response__venues__location__labeledLatLngs__lat","response__venues__location__labeledLatLngs__lng","response__venues__location__distance","response__venues__location__postalCode","response__venues__location__cc","response__venues__location__city","response__venues__location__state","response__venues__location__country","response__venues__location__formattedAddress__001","response__venues__location__formattedAddress__002","response__venues__location__formattedAddress__003","response__venues__referralId","response__venues__hasPerk","response__confident","response__venues__location__crossStreet","response__venues__categories__id","response__venues__categories__name","response__venues__categories__pluralName","response__venues__categories__shortName","response__venues__categories__icon__prefix","response__venues__categories__icon__suffix","response__venues__categories__primary","response__venues__venuePage__id"
"200","602402e24ff54e0befa2715b","4f0de3e1e4b04a8cd81fe645","乔老爷的家","2101 Waverley Street Palo Alto, CA 94301","37.434679","-122.140679","display","37.434679","-122.140679","270","94301","US","海外","CA","United States","2101 Waverley Street Palo Alto, CA 94301","海外, CA 94301","United States","v-1612972770","False","False","","","","","","","","",""
"","","4b230635f964a5204d5224e3","New Mozart School of Music","2100 El Camino Real Ste C","37.426263","-122.14824499999999","display","37.426263","-122.14824499999999","1392","94306","US","Palo Alto","CA","United States","2100 El Camino Real Ste C (at College Ave.)","Palo Alto, CA 94306","United States","v-1612972770","False","","at College Ave.","4f04b10d2fb6e1c99f3db0be","Music School","Music Schools","Music School","https://ss3.4sqi.net/img/categories_v2/building/school_music_",".png","True",""
"","","4b4ffe9af964a520f51a27e3","Generoso","795 Coastland Dr","37.436599","-122.12933999999998","display","37.436599","-122.12933999999998","763","94303","US","Palo Alto","CA","United States","795 Coastland Dr (Moreno)","Palo Alto, CA 94303","United States","v-1612972770","False","","Moreno","","","","","","","",""
"","","","","","","","entrance","37.436544","-122.129393","","","","","","","","","","","","","","","","","","","","",""
"","","5b0ff895dff815003984ff2b","Tunnel Under Caltrain","California Avenue","37.429417","-122.14212","display","37.429417","-122.14212","792","94306","US","Palo Alto","CA","United States","California Avenue (at Caltrain Station)","Palo Alto, CA 94306","United States","v-1612972770","False","","at Caltrain Station","52f2ab2ebcbc57f1066b8b4a","Tunnel","Tunnels","Tunnel","https://ss3.4sqi.net/img/categories_v2/travel/default_",".png","True",""
"","","4fee8f8fe4b0203e0a16d122","Dirt Patch","","37.430049","-122.14238","display","37.430049","-122.14238","743","94301","US","Palo Alto","CA","United States","Palo Alto, CA 94301","United States","","v-1612972770","False","","","4bf58dd8d48988d116941735","Bar","Bars","Bar","https://ss3.4sqi.net/img/categories_v2/nightlife/pub_",".png","True",""
"","","4f247d34e4b0085e4a0f142d","Bryant Street Bike Gateway","Bryant","37.43657864536229","-122.14600023798924","display","37.43657864536229","-122.14600023798924","722","94301","US","Palo Alto","CA","United States","Bryant (at Lowell)","Palo Alto, CA 94301","United States","v-1612972770","False","","at Lowell","4d954b16a243a5684b65b473","Rest Area","Rest Areas","Rest Areas","https://ss3.4sqi.net/img/categories_v2/travel/restarea_",".png","True",""
"","","4bc4c744b492d13add8eaa60","Deli and Cafe Pommard","","37.432521","-122.13517","display","37.432521","-122.13517","428","","US","Palo Alto","CA","United States","Palo Alto, CA","United States","","v-1612972770","False","","","","","","","","","",""
"","","4ac57db5f964a52038b220e3","2886 Emerson","2886 Emerson St","37.425262","-122.133633","display","37.425262","-122.133633","1221","94306","US","Palo Alto","CA","United States","2886 Emerson St","Palo Alto, CA 94306","United States","v-1612972770","False","","","","","","","","","",""
"","","","","","","","entrance","37.425342","-122.133523","","","","","","","","","","","","","","","","","","","","",""
"","","4b8693aef964a5205a9031e3","Riley Office","","37.433777","-122.147346","display","37.433777","-122.147346","861","","US","Palo Alto","CA","United States","Palo Alto, CA","United States","","v-1612972770","False","","","4bf58dd8d48988d124941735","Office","Offices","Office","https://ss3.4sqi.net/img/categories_v2/building/default_",".png","True",""
"","","508ff9558055ae94e2475efd","Zoom Caffe","211 Quarry Road","37.44236755371094","-122.1688003540039","display","37.44236755371094","-122.1688003540039","2830","94303","US","Palo Alto","CA","United States","211 Quarry Road","Palo Alto, CA 94303","United States","v-1612972770","False","","","4bf58dd8d48988d1e0931735","Coffee Shop","Coffee Shops","Coffee Shop","https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_",".png","True","40417258"
"","","5ca3f55495a722002c1ca07c","Giggles Home Day Care","260 Colorado Ave","37.428993","-122.13636","display","37.428993","-122.13636","758","94301","US","Palo Alto","CA","United States","260 Colorado Ave","Palo Alto, CA 94301","United States","v-1612972770","False","","","4f4532974b9074f6e4fb0104","Daycare","Daycares","Daycare","https://ss3.4sqi.net/img/categories_v2/shops/daycare_",".png","True",""
"","","","","","","","entrance","37.429026","-122.136416","","","","","","","","","","","","","","","","","","","","",""
"","","4c1b0e4e63750f47925cb467","Goodspeed","","37.432956","-122.137593","display","37.432956","-122.137593","306","94301","US","Palo Alto","CA","United States","Palo Alto, CA 94301","United States","","v-1612972770","False","","","","","","","","","",""
"","","4bc554796a3e9c74f1cef548","Andrews","Tennyson","37.436598","-122.144532","display","37.436598","-122.144532","594","","US","Palo Alto","CA","United States","Tennyson","Palo Alto, CA","United States","v-1612972770","False","","","","","","","","","",""
"","","4b835ad9f964a520a90331e3","Panibratyuk","134 Tennyson Ave","37.433378999999995","-122.147255","display","37.433378999999995","-122.147255","866","94301","US","Palo Alto","CA","United States","134 Tennyson Ave (alma)","Palo Alto, CA 94301","United States","v-1612972770","False","","alma","","","","","","","",""
"","","","","","","","entrance","37.433542","-122.147354","","","","","","","","","","","","","","","","","","","","",""
"","","4ef6591529c26831889ff70a","De Young","","37.43268","-122.131854","display","37.43268","-122.131854","631","94306","US","Palo Alto","CA","United States","Palo Alto, CA 94306","United States","","v-1612972770","False","","","","","","","","","",""
