,Name,Latitude,Longitude,Category,Sub Category
57,City of Palo Alto Wastewater Treatment Plant,37.451690673828125,-122.11209106445312,Shop & Service,Recycling Facility
58,Ooma Home Phone,37.45271301269531,-122.11396789550781,Shop & Service,Mobile Phone Shop
59,Leeb Realty Advisors,37.4532371,-122.1134618,Shop & Service,Real Estate Office
60,City of Palo Alto Landfill,37.45191192626953,-122.11280822753906,Shop & Service,Recycling Facility
61,California Self Storage,37.45216,-122.112347,Shop & Service,Storage Facility
62,Victor Aviation,37.452538,-122.11281699999999,Shop & Service,Miscellaneous Shop
63,Palo Alto Airport (PAO) (Palo Alto Airport),37.45428392462384,-122.113938331604,Travel & Transport,Airport
64,Tech,37.450602,-122.114825,Travel & Transport,Bus Line
65,Advantage Aviation Maintenance,37.453878,-122.11424099999999,Travel & Transport,Airport Terminal
66,Max G Aviation,37.451547,-122.112902,Travel & Transport,Airport
67,Benbolio,37.44727086237372,-122.1181450496606,Arts & Entertainment,Comedy Club
68,Benvolio,37.44751797390805,-122.1181783271706,Arts & Entertainment,Zoo Exhibit
69,Zydeco Party,37.452546,-122.11266,Arts & Entertainment,Music Venue
70,Byers Eye Institute,37.449025958271015,-122.12013888205126,College & University,Medical School
71,Workers Corporation,37.449965,-122.1209764,College & University,Trade School
72,Delta Chi Alumni,37.450602,-122.114825,College & University,Fraternity House
73,Phi Beta Pi Alumni,37.452672,-122.113965,College & University,Fraternity House
74,Delta Delta Delta Alumni,37.45084242652555,-122.11437907858667,College & University,Fraternity House
75,Hope Technology School,37.44756117550683,-122.11758132701343,College & University,General College & University
76,PhnomNom,37.45077412613696,-122.11747949730895,Food,Food Truck
77,mobile wednesday,37.45069679122213,-122.11754605272856,Food,Food Truck
78,Grillaz Gone Wild,37.45072433404432,-122.11790656053918,Food,Food Truck
79,Mama's Taco Wagon,37.450386,-122.116925,Food,Food Truck
80,rosa's taco truck,37.452021684999735,-122.11567139272745,Food,Food Truck
81,Bee Cafe,37.44820202266324,-122.11809935440361,Food,Sandwich Place
82,El Jarochito Taco Truck,37.45125390842353,-122.11557155785097,Food,Food Truck
83,Food Truck,37.448795,-122.118863,Food,Food Truck
84,Abundant Air Cafe,37.45429121127811,-122.11521070734184,Food,Café
85,Mi Pueblo,37.44965694285596,-122.11996975133202,Food,Latin American Restaurant
86,Bay Cafe & Deli,37.45372235136243,-122.11596041185489,Food,Café
87,Desiree Deli,37.4483642578125,-122.11824035644531,Food,Food
88,Baylands,37.44951199086817,-122.1201915974585,Outdoors & Recreation,Neighborhood
89,Baylands Athletic Center,37.45292155156966,-122.12087931755569,Outdoors & Recreation,Baseball Field
90,Palo Alto Golf Course,37.45342886523999,-122.11590434041398,Outdoors & Recreation,Golf Course
91,Lucy Evans Nature Center,37.44950852,-122.118188,Outdoors & Recreation,Scenic Lookout
92,Brad Lozare's Golf Shop,37.453693,-122.116004,Outdoors & Recreation,Golf Course
93,BLFR Alternate Run Location,37.449303,-122.115582,Outdoors & Recreation,Athletics & Sports
94,Brad Lozare's Golf Shop,37.453576,-122.114252,Outdoors & Recreation,Golf Course
95,Palo Alto Weekly Moonlight Run,37.451459790345226,-122.1205687348281,Outdoors & Recreation,Other Great Outdoors
96,Zymogentics,37.44966125488281,-122.11511993408203,Outdoors & Recreation,Gym / Fitness Center
97,Advantage Aviation,37.45386779621386,-122.1143144354331,Professional & Other Places,Flight School
98,Byers Eye Institute,37.449025958271015,-122.12013888205126,Professional & Other Places,Medical School
99,West Valley Flying Club,37.45436515816444,-122.11490470967287,Professional & Other Places,Flight School
100,Embarcadero Corporate Center,37.448615596185476,-122.1184867505941,Professional & Other Places,Office
101,Attensity,37.448843888014075,-122.11867101352169,Professional & Other Places,Tech Startup
102,Bloomerang Tool Company,37.4517707824707,-122.11312866210938,Professional & Other Places,Tech Startup
103,Attensity Command Center,37.448040746588276,-122.1183038202249,Professional & Other Places,Office
104,"Producers Forum, Inc.",37.44833,-122.11823700000001,Professional & Other Places,Office
105,Immimtek,37.45039367675781,-122.12078094482422,Professional & Other Places,Building
106,Enerspace Coworking Palo Alto,37.45001555699872,-122.12139690542627,Professional & Other Places,Coworking Space
107,Onco MDx,37.451813,-122.112993,Professional & Other Places,Office
108,Sgiggle,37.450753,-122.116174,Professional & Other Places,Office
109,Reva Tech,37.44798038329842,-122.1182952605483,Professional & Other Places,Tech Startup
110,Spencer Vision Center,37.447914123535156,-122.11952209472656,Professional & Other Places,Eye Doctor
111,Jones Day,37.450996999999994,-122.118596,Professional & Other Places,Coworking Space
112,Bowne,37.45061,-122.11591643,Professional & Other Places,Office
113,Dr. Philip Ng,37.448363,-122.118241,Professional & Other Places,Doctor's Office
114,Zoove Corp.,37.451498,-122.121903,Professional & Other Places,Tech Startup
115,Harris MyCFO,37.450895,-122.121447,Professional & Other Places,Office
116,deeplearning.ai,37.451112,-122.116094,Professional & Other Places,Tech Startup
117,Career Generations,37.45005,-122.121121,Professional & Other Places,Office
118,Stanford Ear Institute,37.448455810546875,-122.12037658691406,Professional & Other Places,Doctor's Office
119,DVM Business Consultants,37.4497835,-122.1214013,Professional & Other Places,Veterinarian
120,Eversight HQ,37.448705,-122.118083,Professional & Other Places,Tech Startup
121,inscopix,37.451547,-122.112902,Professional & Other Places,Office
122,Aviir,37.450602,-122.114825,Professional & Other Places,Medical Center
123,Ozmo Devices,37.446049,-122.117724,Professional & Other Places,Tech Startup
124,Atempo,37.44833,-122.11823700000001,Professional & Other Places,Office
125,Embarcadero Corporate Centet,37.4531922384556,-122.11322541170938,Professional & Other Places,Building
126,Heffernan Insurance Brokers,37.450602,-122.114825,Professional & Other Places,Office
127,Actian Corporation,37.451428,-122.121673,Professional & Other Places,Office
128,US Hindi Foundation,37.44833,-122.11823700000001,Professional & Other Places,Cultural Center
129,Mustard Seed Learning Center,37.446487,-122.11778,Professional & Other Places,Elementary School
130,Stanford Health Care Center For Education And Professional Development,37.44985537797352,-122.11446782168265,Professional & Other Places,Building
131,TERIS,37.450225,-122.116114,Professional & Other Places,Office
132,Sullivan & Cromwell LLP,37.452224,-122.114452,Professional & Other Places,Building
133,Cloud Virtual Office Palo Alto,37.450144,-122.121744,Professional & Other Places,Coworking Space
134,Accellion,37.4511739692884,-122.11564221237661,Professional & Other Places,Office
135,Superfish,37.446049,-122.117724,Professional & Other Places,Tech Startup
136,US-Polish Trade Council,37.4479654380753,-122.1180230320363,Professional & Other Places,City Hall
137,Zoove,37.45081466640267,-122.11858320272118,Professional & Other Places,Tech Startup
138,LinkedIn Profile & Resume Writing Services,37.44969,-122.1212,Professional & Other Places,Office
139,Civil Air Patrol (Squadron 10),37.45365905761719,-122.11356353759766,Professional & Other Places,Military Base
140,Nok Nok Labs,37.45128589232625,-122.12114810943604,Professional & Other Places,Tech Startup
141,Aurora Innovation,37.452971,-122.114077,Professional & Other Places,Office
142,New Dirt West,37.4482037026157,-122.11854437910404,Professional & Other Places,Tech Startup
143,American Cancer Society,37.45036315917969,-122.11995697021484,Professional & Other Places,Non-Profit
144,CardioDx,37.449159,-122.116529,Professional & Other Places,Office
145,Vucast HQ,37.448014,-122.11992,Professional & Other Places,Tech Startup
146,Promolytics,37.448207,-122.118426,Professional & Other Places,Tech Startup
147,Audi Palo Alto,37.449629,-122.117994,Shop & Service,Auto Dealership
148,Anderson Honda,37.44987,-122.11912,Shop & Service,Automotive Shop
149,Stanford Federal Credit Union,37.45197345601376,-122.11525915121203,Shop & Service,Credit Union
150,Gilfix & La Poll Associates LLP,37.44831,-122.1185326,Shop & Service,Lawyer
151,Workers Corporation,37.449965,-122.1209764,Shop & Service,Trade School
152,Next Legal,37.4512193,-122.1204163,Shop & Service,Lawyer
153,Matthews-Carlsen Body Works,37.450259,-122.117369,Shop & Service,Automotive Shop
154,"Lakin Spears, LLP",37.45309829711914,-122.12066650390625,Shop & Service,Lawyer
155,Brian Gilbreath,37.45054626464844,-122.11947631835938,Shop & Service,Business Service
156,crowntuna,37.450602,-122.114825,Shop & Service,Design Studio
157,Ooma Nationwide Home Phone Service,37.453060150146484,-122.11327362060547,Shop & Service,Mobile Phone Shop
158,"Valley Home Theater & Automation, Inc.",37.45001220703125,-122.12110137939453,Shop & Service,Electronics Store
159,Car Title Loans California,37.451969146728516,-122.11974334716797,Shop & Service,Financial or Legal Service
160,Joe And The Lock,37.450931549072266,-122.12100219726562,Shop & Service,Locksmith
161,Richard,37.45001220703125,-122.12110137939453,Shop & Service,Internet Cafe
162,Lanier Law Firm,37.450803,-122.118141,Shop & Service,Lawyer
163,Jon R. Parsons Law Firm,37.449965,-122.1209764,Shop & Service,Lawyer
164,Navis Pack & Ship,37.4500458,-122.1210685,Shop & Service,Shipping Store
165,Nanette Stringer,37.450931549072266,-122.12100219726562,Shop & Service,Lawyer
166,MVP Car Title Loans,37.450931549072266,-122.12100219726562,Shop & Service,Financial or Legal Service
167,"ET Healthcare, Inc.",37.45185470581055,-122.11316680908203,Shop & Service,Business Service
168,Law Office of David C. Weinberg,37.45001220703125,-122.12110137939453,Shop & Service,Financial or Legal Service
169,Farmers Insurance,37.44993415,-122.1196789,Shop & Service,Insurance Office
170,Trient Mattress,37.4512193,-122.1204163,Shop & Service,Business Service
171,Law & Mediation Office of George Richardson,37.44995718049268,-122.12111592292786,Shop & Service,Lawyer
172,Automatic Gate Masters,37.449965,-122.1209764,Shop & Service,Construction & Landscaping
173,"Regus - California, Palo Alto - Embarcadero Place",37.45105471840009,-122.12035668176965,Shop & Service,Business Service
174,Palo Alto Staffing,37.44831,-122.1185326,Shop & Service,Business Service
175,City of Palo Alto Wastewater Treatment Plant,37.451690673828125,-122.11209106445312,Shop & Service,Recycling Facility
176,JJS & Associates,37.450990000000004,-122.121003,Shop & Service,Real Estate Office
177,Innovo Builders,37.4509,-122.121,Shop & Service,Construction & Landscaping
178,Bay Cafe Restaurants and Banquets,37.453683,-122.1159915,Shop & Service,Event Service
179,Dentu-Temps,37.4512193,-122.1204163,Shop & Service,Business Service
180,TeamToq,37.45001220703125,-122.12110137939453,Shop & Service,Business Service
181,Ooma Home Phone,37.45271301269531,-122.11396789550781,Shop & Service,Mobile Phone Shop
182,Leeb Realty Advisors,37.4532371,-122.1134618,Shop & Service,Real Estate Office
183,Farmers Insurance,37.450451,-122.119381,Shop & Service,Insurance Office
184,City of Palo Alto Landfill,37.45191192626953,-122.11280822753906,Shop & Service,Recycling Facility
185,Growthlytics,37.45001220703125,-122.12110137939453,Shop & Service,Internet Cafe
186,Toppan Merrill,37.45045332084545,-122.11940199136734,Shop & Service,Financial or Legal Service
187,SERVPRO of Palo Alto,37.449931351730974,-122.1209576245369,Shop & Service,Home Service
188,"Michael Paganucci - Ameriprise Financial Services, Inc.",37.4483642578125,-122.11824035644531,Shop & Service,Financial or Legal Service
189,Royse Law Firm,37.45025701587439,-122.1200695821453,Shop & Service,Lawyer
190,Palo Alto Staffing,37.44847505663225,-122.11783927104483,Shop & Service,Business Service
191,Nopar & Associates,37.4485236,-122.1183142,Shop & Service,Miscellaneous Shop
192,Gordon Institute,37.450931549072266,-122.12100219726562,Shop & Service,Drugstore
193,Shopgate Headquarter,37.44985193790082,-122.12129527516713,Shop & Service,Shopping Mall
194,California Self Storage,37.45216,-122.112347,Shop & Service,Storage Facility
195,Mobile Windshield Pro,37.4483642578125,-122.11824035644531,Shop & Service,Automotive Shop
196,Credere Law,37.450019,-122.12102800000001,Shop & Service,Lawyer
197,Palo Alto Airport (PAO) (Palo Alto Airport),37.45428392462384,-122.113938331604,Travel & Transport,Airport
198,Palo Alto Shuttle Stop - Geng Rd,37.45036087527585,-122.11847227806368,Travel & Transport,Bus Station
199,Tech,37.450602,-122.114825,Travel & Transport,Bus Line
200,Melrose Moving Company Palo Alto,37.45142429845159,-122.11941674351691,Travel & Transport,Moving Target
201,Navis Pack & Ship,37.4500458,-122.1210685,Travel & Transport,Shipping Store
202,Grillaz Gone Wild,37.45072433404432,-122.11790656053918,Travel & Transport,Food Truck
203,Austro Air Craft,37.453968796198915,-122.11579442024231,Travel & Transport,Plane
204,Advantage Aviation Maintenance,37.453878,-122.11424099999999,Travel & Transport,Airport Terminal
205,East Bayshore & Embarcadero,37.449768,-122.119768,Travel & Transport,Intersection
206,Max G Aviation,37.451547,-122.112902,Travel & Transport,Airport
207,Zeus Limousine,37.449854970912526,-122.12126612663269,Travel & Transport,Transportation Service
208,Hertz,37.450259,-122.117369,Travel & Transport,Rental Car Location
209,Benbolio,37.44727086237372,-122.1181450496606,Arts & Entertainment,Comedy Club
210,Benvolio,37.44751797390805,-122.1181783271706,Arts & Entertainment,Zoo Exhibit
211,Byers Eye Institute,37.449025958271015,-122.12013888205126,College & University,Medical School
212,Workers Corporation,37.449965,-122.1209764,College & University,Trade School
213,BUILD.org,37.45053482055664,-122.12303161621094,College & University,General College & University
214,StartupDigest / Udemy Worldwide HQ,37.450949,-122.126261,College & University,Fraternity House
215,Hope Technology School,37.44756117550683,-122.11758132701343,College & University,General College & University
216,Genius Kids Club,37.44807434082031,-122.12603759765625,College & University,Student Center
217,Chef Zhao Kitchen,37.44822427401676,-122.12614184906387,Food,Chinese Restaurant
218,The Market at Edgewood,37.44824124359973,-122.12562654116597,Food,Market
219,House of Bagels,37.44820890236632,-122.12629900698408,Food,Bagel Shop
220,Starbucks,37.44906199059313,-122.12317538358953,Food,Coffee Shop
221,PhnomNom,37.45077412613696,-122.11747949730895,Food,Food Truck
222,mobile wednesday,37.45069679122213,-122.11754605272856,Food,Food Truck
223,Grillaz Gone Wild,37.45072433404432,-122.11790656053918,Food,Food Truck
224,El Jacalito Grill,37.448196,-122.12576999999999,Food,Food
225,Mama's Taco Wagon,37.450386,-122.116925,Food,Food Truck
226,Bargains Unlimited,37.448196,-122.12576999999999,Food,Food
227,Bee Cafe,37.44820202266324,-122.11809935440361,Food,Sandwich Place
228,Food Truck,37.448795,-122.118863,Food,Food Truck
229,Mi Pueblo,37.44965694285596,-122.11996975133202,Food,Latin American Restaurant
230,Yumsilog,37.44795608520508,-122.12577056884766,Food,Food Truck
231,Desiree Deli,37.4483642578125,-122.11824035644531,Food,Food
232,The Lounge,37.44745059640779,-122.12199962640355,Nightlife Spot,Dive Bar
233,Embarcadero/Oregon Expwy ped/bike bridge,37.447129330591565,-122.12116956710814,Outdoors & Recreation,Bridge
234,Baylands,37.44951199086817,-122.1201915974585,Outdoors & Recreation,Neighborhood
235,Baylands Athletic Center,37.45292155156966,-122.12087931755569,Outdoors & Recreation,Baseball Field
236,Baylands Baseball Fields,37.453200940961715,-122.1212712723441,Outdoors & Recreation,Baseball Field
237,Lucy Evans Nature Center,37.44950852,-122.118188,Outdoors & Recreation,Scenic Lookout
238,Eastside Fitness Center,37.44883728027344,-122.1224594116211,Outdoors & Recreation,Gym
239,Orangetheory Fitness,37.44801887835069,-122.12615337924171,Outdoors & Recreation,Gym
240,Berman-Thornycroft Path,37.45250811602455,-122.12441504001617,Outdoors & Recreation,Trail
241,Duveneck,37.454471,-122.120946,Outdoors & Recreation,Neighborhood
242,Palo Alto Weekly Moonlight Run,37.451459790345226,-122.1205687348281,Outdoors & Recreation,Other Great Outdoors
243,Byers Eye Institute,37.449025958271015,-122.12013888205126,Professional & Other Places,Medical School
244,US Post Office,37.4516966,-122.1243949,Professional & Other Places,Post Office
245,International School of the Peninsula - Cohn Campus,37.45230178462717,-122.1248860959118,Professional & Other Places,School
246,Embarcadero Corporate Center,37.448615596185476,-122.1184867505941,Professional & Other Places,Office
247,Attensity,37.448843888014075,-122.11867101352169,Professional & Other Places,Tech Startup
248,Udemy HQ,37.451002,-122.126202,Professional & Other Places,Office
249,Attensity Command Center,37.448040746588276,-122.1183038202249,Professional & Other Places,Office
250,"Producers Forum, Inc.",37.44833,-122.11823700000001,Professional & Other Places,Office
251,Bosch Healthcare/Health Hero,37.451485991477966,-122.1223497390747,Professional & Other Places,Office
252,Immimtek,37.45039367675781,-122.12078094482422,Professional & Other Places,Building
253,Enerspace Coworking Palo Alto,37.45001555699872,-122.12139690542627,Professional & Other Places,Coworking Space
254,Sgiggle,37.450753,-122.116174,Professional & Other Places,Office
255,Reva Tech,37.44798038329842,-122.1182952605483,Professional & Other Places,Tech Startup
256,Spencer Vision Center,37.447914123535156,-122.11952209472656,Professional & Other Places,Eye Doctor
257,Jones Day,37.450996999999994,-122.118596,Professional & Other Places,Coworking Space
258,Bowne,37.45061,-122.11591643,Professional & Other Places,Office
259,Dr. Philip Ng,37.448363,-122.118241,Professional & Other Places,Doctor's Office
260,Zoove Corp.,37.451498,-122.121903,Professional & Other Places,Tech Startup
261,Harris MyCFO,37.450895,-122.121447,Professional & Other Places,Office
262,deeplearning.ai,37.451112,-122.116094,Professional & Other Places,Tech Startup
263,Career Generations,37.45005,-122.121121,Professional & Other Places,Office
264,Stanford Ear Institute,37.448455810546875,-122.12037658691406,Professional & Other Places,Doctor's Office
265,DVM Business Consultants,37.4497835,-122.1214013,Professional & Other Places,Veterinarian
266,Eversight HQ,37.448705,-122.118083,Professional & Other Places,Tech Startup
267,Atempo,37.44833,-122.11823700000001,Professional & Other Places,Office
268,Actian Corporation,37.451428,-122.121673,Professional & Other Places,Office
269,US Hindi Foundation,37.44833,-122.11823700000001,Professional & Other Places,Cultural Center
270,TERIS,37.450225,-122.116114,Professional & Other Places,Office
271,"Globo, Palo Alto",37.450647334002106,-122.12451195993994,Professional & Other Places,Office
272,Cloud Virtual Office Palo Alto,37.450144,-122.121744,Professional & Other Places,Coworking Space
273,US-Polish Trade Council,37.4479654380753,-122.1180230320363,Professional & Other Places,City Hall
274,Zoove,37.45081466640267,-122.11858320272118,Professional & Other Places,Tech Startup
275,LinkedIn Profile & Resume Writing Services,37.44969,-122.1212,Professional & Other Places,Office
276,Nok Nok Labs,37.45128589232625,-122.12114810943604,Professional & Other Places,Tech Startup
277,Pie Digital,37.450239,-122.122697,Professional & Other Places,Tech Startup
278,New Dirt West,37.4482037026157,-122.11854437910404,Professional & Other Places,Tech Startup
279,American Cancer Society,37.45036315917969,-122.11995697021484,Professional & Other Places,Non-Profit
280,CardioDx,37.449159,-122.116529,Professional & Other Places,Office
281,Vucast HQ,37.448014,-122.11992,Professional & Other Places,Tech Startup
282,U.S. Department of State Passport Services,37.451802461659774,-122.12472825082338,Professional & Other Places,Government Building
283,Promolytics,37.448207,-122.118426,Professional & Other Places,Tech Startup
284,Stanford Eye Laser Center,37.448347999999996,-122.120524,Professional & Other Places,Doctor's Office
285,IdentityMind,37.450205,-122.119537,Professional & Other Places,Office
286,Bay Area Christian Church,37.44738787678167,-122.11825509114125,Professional & Other Places,Church
287,Limelight Mobile,37.451294409633654,-122.12171673774719,Professional & Other Places,Tech Startup
288,Stanford Childrens Audiology,37.44864127767301,-122.12082385641983,Professional & Other Places,Doctor's Office
289,Farmers Insurance,37.44993415,-122.1196789,Professional & Other Places,Insurance Office
290,Knobbe Martens,37.447789214632934,-122.11870521971295,Professional & Other Places,Office
291,Cypress Properties,37.45123025,-122.12449253333334,Professional & Other Places,Building
292,Imimtek Inc.,37.45085144042969,-122.1214599609375,Professional & Other Places,Tech Startup
293,The Market at Edgewood,37.44824124359973,-122.12562654116597,Shop & Service,Market
294,Audi Palo Alto,37.449629,-122.117994,Shop & Service,Auto Dealership
295,Anderson Honda,37.44987,-122.11912,Shop & Service,Automotive Shop
296,Gilfix & La Poll Associates LLP,37.44831,-122.1185326,Shop & Service,Lawyer
297,Mulberrys Garment Care - Palo Alto,37.448196,-122.12576999999999,Shop & Service,Tailor Shop
298,Workers Corporation,37.449965,-122.1209764,Shop & Service,Trade School
299,Next Legal,37.4512193,-122.1204163,Shop & Service,Lawyer
300,Matthews-Carlsen Body Works,37.450259,-122.117369,Shop & Service,Automotive Shop
301,"Lakin Spears, LLP",37.45309829711914,-122.12066650390625,Shop & Service,Lawyer
302,The Golf Lab,37.448196,-122.12576999999999,Shop & Service,Sporting Goods Shop
303,"The Market, Embarcadero, Palo Alto",37.448086,-122.12556,Shop & Service,Market
304,Brian Gilbreath,37.45054626464844,-122.11947631835938,Shop & Service,Business Service
305,House of Wigs,37.448585510253906,-122.12616729736328,Shop & Service,Miscellaneous Shop
306,"Valley Home Theater & Automation, Inc.",37.45001220703125,-122.12110137939453,Shop & Service,Electronics Store
307,Car Title Loans California,37.451969146728516,-122.11974334716797,Shop & Service,Financial or Legal Service
308,Joe And The Lock,37.450931549072266,-122.12100219726562,Shop & Service,Locksmith
309,Richard,37.45001220703125,-122.12110137939453,Shop & Service,Internet Cafe
310,Glossy Nail Salon & Spa,37.44831542221728,-122.12597340345384,Shop & Service,Nail Salon
311,Paul Lewallen Phone Repair,37.452056884765625,-122.12565612792969,Shop & Service,Mobile Phone Shop
312,Lanier Law Firm,37.450803,-122.118141,Shop & Service,Lawyer
313,Jon R. Parsons Law Firm,37.449965,-122.1209764,Shop & Service,Lawyer
314,Navis Pack & Ship,37.4500458,-122.1210685,Shop & Service,Shipping Store
315,Nanette Stringer,37.450931549072266,-122.12100219726562,Shop & Service,Lawyer
316,MVP Car Title Loans,37.450931549072266,-122.12100219726562,Shop & Service,Financial or Legal Service
317,Law Office of David C. Weinberg,37.45001220703125,-122.12110137939453,Shop & Service,Financial or Legal Service
318,Farmers Insurance,37.44993415,-122.1196789,Shop & Service,Insurance Office
319,Ilais Day Care,37.44986343383789,-122.12586975097656,Shop & Service,Daycare
320,Trient Mattress,37.4512193,-122.1204163,Shop & Service,Business Service
321,Law & Mediation Office of George Richardson,37.44995718049268,-122.12111592292786,Shop & Service,Lawyer
322,Automatic Gate Masters,37.449965,-122.1209764,Shop & Service,Construction & Landscaping
323,"Regus - California, Palo Alto - Embarcadero Place",37.45105471840009,-122.12035668176965,Shop & Service,Business Service
324,Palo Alto Staffing,37.44831,-122.1185326,Shop & Service,Business Service
325,JJS & Associates,37.450990000000004,-122.121003,Shop & Service,Real Estate Office
326,Chase Bank,37.44840016468464,-122.1261276503145,Shop & Service,Bank
327,"Wise Painting, Inc.",37.4515148,-122.1243927,Shop & Service,Construction & Landscaping
328,Innovo Builders,37.4509,-122.121,Shop & Service,Construction & Landscaping
329,Kendys Painting Inc,37.451019,-122.124733,Shop & Service,Construction & Landscaping
330,Dentu-Temps,37.4512193,-122.1204163,Shop & Service,Business Service
331,TeamToq,37.45001220703125,-122.12110137939453,Shop & Service,Business Service
332,Farmers Insurance,37.450451,-122.119381,Shop & Service,Insurance Office
333,Growthlytics,37.45001220703125,-122.12110137939453,Shop & Service,Internet Cafe
334,Toppan Merrill,37.45045332084545,-122.11940199136734,Shop & Service,Financial or Legal Service
335,SERVPRO of Palo Alto,37.449931351730974,-122.1209576245369,Shop & Service,Home Service
336,Century Liquors,37.448196,-122.12576999999999,Shop & Service,Liquor Store
337,"Michael Paganucci - Ameriprise Financial Services, Inc.",37.4483642578125,-122.11824035644531,Shop & Service,Financial or Legal Service
338,Royse Law Firm,37.45025701587439,-122.1200695821453,Shop & Service,Lawyer
339,Palo Alto Staffing,37.44847505663225,-122.11783927104483,Shop & Service,Business Service
340,Nopar & Associates,37.4485236,-122.1183142,Shop & Service,Miscellaneous Shop
341,Gordon Institute,37.450931549072266,-122.12100219726562,Shop & Service,Drugstore
